symbol,year,adjusted,cpi,ppi,annual.dividend
XOM,2015,-9.730651999999992,3.0139999999999816,-8.5,2.88
XOM,2016,13.18295299999999,4.884999999999991,5.599999999999994,2.98
XOM,2017,-3.4711380000000105,4.1299999999999955,5.600000000000023,3.06
XOM,2018,-12.418816,3.836999999999989,3.0999999999999943,3.23
XOM,2019,3.167456999999999,5.8940000000000055,-0.09999999999999432,3.4299999999999997
XOM,2020,-25.047069999999998,-1.6059999999999945,-8.200000000000017,1.74
XRAY,2015,8.901527000000002,3.0139999999999816,-8.5,0.291
XRAY,2016,-0.8042980000000028,4.884999999999991,5.599999999999994,0.312
XRAY,2017,7.466065,4.1299999999999955,5.600000000000023,0.4395
XRAY,2018,-29.010552000000004,3.836999999999989,3.0999999999999943,0.352
XRAY,2019,18.864086999999998,5.8940000000000055,-0.09999999999999432,0.376
XRAY,2020,-11.864894999999997,-1.6059999999999945,-8.200000000000017,0.2
XRX,2015,-6.894984999999998,3.0139999999999816,-8.5,2.9512516469038212
XRX,2016,-3.3761410000000005,4.884999999999991,5.599999999999994,3.2674571805006587
XRX,2017,1.936366999999997,4.1299999999999955,5.600000000000023,1.5625
XRX,2018,-7.944011999999997,3.836999999999989,3.0999999999999943,1
XRX,2019,16.830381000000003,5.8940000000000055,-0.09999999999999432,1
XRX,2020,-18.505373,-1.6059999999999945,-8.200000000000017,0.5
XYL,2015,-0.9214510000000047,3.0139999999999816,-8.5,0.5632
XYL,2016,13.340378000000001,4.884999999999991,5.599999999999994,0.6196
XYL,2017,18.589096000000005,4.1299999999999955,5.600000000000023,0.72
XYL,2018,-0.5415259999999904,3.836999999999989,3.0999999999999943,0.84
XYL,2019,13.020706000000004,5.8940000000000055,-0.09999999999999432,0.96
XYL,2020,-5.036613000000003,-1.6059999999999945,-8.200000000000017,0.52
YUM,2015,1.501968000000005,3.0139999999999816,-8.5,0.8734363767074047
YUM,2016,11.871483000000005,4.884999999999991,5.599999999999994,0.9768080517613227
YUM,2017,18.643506000000002,4.1299999999999955,5.600000000000023,1.2
YUM,2018,11.421096000000006,3.836999999999989,3.0999999999999943,1.44
YUM,2019,10.687866,5.8940000000000055,-0.09999999999999432,1.68
YUM,2020,-10.614380000000011,-1.6059999999999945,-8.200000000000017,0.94
ZBH,2015,-8.740311000000005,3.0139999999999816,-8.5,0.88
