"Year","symbol","Gross.Revenue","COGS.DA","Gross.Income","Non.Product.Cost.SGA","Interest.Expenses","Pretax.Income","Net.Income","EBITDA","Cash.ST.Investments","Total.Accounts.Receivable","Inventories","Total.Current.Assets","Net.Property","Total.Assets","Total.Liabilities","Total.Shareholder.Equity","Total.Equity","Debt.To.Asset","Debt.To.Equity","Equity.Multiplier","Gross.Profit.Margin","Interest.Coverage","Net.Profit.Margin","Operating.Margin","Return.On.Sales","Asset.Turnover","Return.On.Asset","Return.On.Equity"
2016,NG,NA,NA,NA,26760000,6040000,NA,NA,NA,141550000,2030000,NA,144330000,58380000,548950000,145210000,403730000,403730000,0.2645231806175426,0.35967106729745124,1.3596958363262577,NA,NA,NA,NA,NA,NA,NA,NA
2017,NG,NA,NA,NA,27050000,6810000,NA,NA,NA,108160000,NA,NA,109300000,NA,513590000,147680000,365910000,365910000,0.28754453941860236,0.4035965128036949,1.403596512803695,NA,NA,NA,NA,NA,NA,NA,NA
2018,NG,NA,NA,NA,23850000,8340000,NA,NA,NA,221970000,2370000,NA,225130000,NA,346800000,133230000,213570000,213570000,0.38416955017301035,0.6238235707262256,1.6238235707262256,NA,NA,NA,NA,NA,NA,NA,NA
2019,NG,NA,NA,NA,21670000,9680000,NA,NA,NA,197310000,1460000,NA,199690000,NA,326530000,143290000,183240000,183240000,0.4388264477995896,0.7819799170486793,1.7819799170486794,NA,NA,NA,NA,NA,NA,NA,NA
2015,KRO,1350000000,1150000000,203100000,180700000,19100000,NA,NA,63600000,94300000,220800000,387200000,710800000,429500000,1240000000,780800000,461900000,461900000,0.6296774193548387,1.6904091794760772,2.684563758389262,0.15044444444444444,3.329842931937173,NA,0.04711111111111111,0.04711111111111111,1.0887096774193548,0.0432724279835391,0.1161675919021184
2016,KRO,1360000000,1110000000,2700000,185300000,20500000,61200000,43300000,116400000,52300000,244600000,343500000,650400000,4400000,1180000000,784600000,3500000,3500000,0.6649152542372881,224.17142857142858,337.14285714285717,0.0019852941176470586,5.678048780487805,0.031838235294117646,0.08558823529411765,0.08558823529411765,1.152542372881356,0.07426038062283737,25.036356895699456
2017,KRO,1730000000,1160000000,569700000,214500000,16900000,305700000,354500000,396900000,323700000,346500000,382300000,1060000000,506400000,1820000000,1070000000,754300000,754300000,0.5879120879120879,1.4185337398912898,2.412833090282381,0.3293063583815029,23.485207100591715,0.20491329479768786,0.22942196531791909,0.22942196531791909,0.9505494505494505,0.24135721206856228,0.5823546678573291
2018,KRO,1660000000,1100000000,562200000,242800000,19500000,293800000,2500000,369900000,374700000,312500000,497900000,1200000000,486400000,1900000000,1060000000,839800000,839800000,0.5578947368421052,1.2622052869730889,2.262443438914027,0.3386746987951807,18.96923076923077,0.0015060240963855422,0.2228313253012048,0.2228313253012048,0.8736842105263158,0.2550479024531862,0.5770314535139959
2019,KRO,1730000000,1340000000,386200000,243300000,18700000,121100000,87100000,198900000,392300000,309400000,5300000,1220000000,519600000,1970000000,1150000000,816100000,816100000,0.583756345177665,1.4091410366376669,2.4139198627619165,0.22323699421965318,10.636363636363637,0.05034682080924856,0.11497109826589595,0.11497109826589595,0.8781725888324873,0.13092084600220522,0.31603243061431724
2015,KWR,737560000,460520000,277040000,198990000,2590000,70230000,50740000,97260000,81050000,188300000,75100000,358030000,87620000,680730000,299480000,373050000,381240000,0.4399394767382075,0.7855419158535306,1.7855681460497324,0.37561689896415207,37.552123552123554,0.06879440316719995,0.13186723791962687,0.13186723791962687,1.0834839069822102,0.12170668809185368,0.21731558541802423
2016,KWR,746670000,467070000,279590000,195480000,2890000,84010000,60890000,103680000,88820000,195230000,77080000,376470000,85730000,692030000,279420000,402760000,412610000,0.40376862274756875,0.6772012311868351,1.677201231186835,0.3744492212088339,35.87543252595156,0.08154874308596836,0.13885652296195106,0.13885652296195106,1.0789561146193085,0.1286952463408989,0.21584782561084867
2017,KWR,820080000,528590000,291500000,198810000,3890000,60670000,20140000,112650000,89880000,208360000,87220000,406590000,86700000,722130000,259340000,407670000,409620000,0.35913201224156316,0.6331233826473317,1.7629266149113814,0.35545312652424155,28.958868894601544,0.02455857965076578,0.1373646473514779,0.1373646473514779,1.1356403971584064,0.12095787336835766,0.21323985424415828
2018,KWR,867520000,555210000,312310000,207870000,6160000,83100000,59220000,124160000,104150000,202140000,94090000,418510000,83920000,709670000,273300000,435050000,436370000,0.3851085715896121,0.6263033664092399,1.62630336640924,0.3600032275912947,20.155844155844157,0.06826355588343784,0.1431206196975286,0.1431206196975286,1.2224273253765834,0.11707904161373239,0.19040603951238047
2019,KWR,1130000000,741390000,392120000,283830000,16980000,28900000,31530000,153180000,123520000,375980000,174950000,715970000,256370000,2850000000,1610000000,1240000000,1240000000,0.5649122807017544,1.2983870967741935,2.2983870967741935,0.34700884955752215,9.021201413427562,0.027902654867256637,0.1355575221238938,0.1355575221238938,0.39649122807017545,0.34189286553371445,0.7858021506218437
2016,LOOP,NA,NA,NA,2550000,NA,NA,NA,NA,NA,NA,NA,NA,1400000,2480000,1070000,1420000,1420000,0.4314516129032258,0.7535211267605634,1.7464788732394365,NA,NA,NA,NA,NA,NA,NA,NA
2017,LOOP,NA,NA,NA,3730000,NA,NA,NA,NA,NA,NA,NA,1060000,1570000,2940000,NA,2140000,2140000,NA,NA,1.3738317757009346,NA,NA,NA,NA,NA,NA,NA,NA
2018,LOOP,NA,NA,NA,13560000,NA,NA,NA,NA,8150000,NA,NA,9030000,4040000,13400000,3070000,10320000,10320000,0.2291044776119403,0.29748062015503873,1.2984496124031009,NA,NA,NA,NA,NA,NA,NA,NA
2019,LOOP,NA,NA,NA,12260000,NA,NA,NA,NA,5830000,NA,NA,6660000,5370000,12160000,9530000,2630000,2630000,0.7837171052631579,3.623574144486692,4.623574144486692,NA,NA,NA,NA,NA,NA,NA,NA
2020,LOOP,NA,NA,NA,12150000,2420000,NA,NA,NA,33720000,NA,NA,34520000,7260000,42840000,4370000,38460000,38460000,0.10200746965452848,0.11362454498179927,1.1138845553822152,NA,NA,NA,NA,NA,NA,NA,NA
2015,LPX,1890000000,1780000000,107900000,152800000,31200000,NA,NA,53800000,434700000,96400000,2200000,769100000,862400000,2180000000,1160000000,1020000000,1020000000,0.5321100917431193,1.1372549019607843,2.1372549019607843,0.057089947089947087,1.7243589743589745,NA,0.028465608465608465,0.028465608465608465,0.8669724770642202,0.032833347330701826,0.07017323253032351
2016,LPX,2230000000,1840000000,396600000,183600000,32100000,164900000,150300000,308900000,659300000,108300000,234600000,1020000000,883200000,2030000000,835500000,1200000000,1200000000,0.41157635467980297,0.69625,1.6916666666666667,0.177847533632287,9.623052959501557,0.06739910313901346,0.13852017937219732,0.13852017937219732,1.0985221674876848,0.1260968448993545,0.21331382928807469
2017,LPX,2730000000,200000000,732600000,188100000,19300000,510200000,391100000,661500000,9800000,142500000,259100000,1360000000,926100000,2450000000,8400000,1600000000,1600000000,0.0034285714285714284,0.00525,1.53125,0.2683516483516484,34.27461139896373,0.14326007326007326,0.2423076923076923,0.2423076923076923,1.1142857142857143,0.21745562130177515,0.3329789201183432
2018,LPX,2830000000,2090000000,740800000,206100000,15800000,5400000,398800000,670700000,878400000,127600000,2300000,1290000000,1010000000,2510000000,813900000,1700000000,1700000000,0.32426294820717133,0.4787647058823529,1.4764705882352942,0.26176678445229684,42.449367088607595,0.14091872791519436,0.2369964664310954,0.2369964664310954,1.1274900398406376,0.21019827941415173,0.3103515772526593
2019,LPX,2310000000,2010000000,3000000,2700000,18000000,NA,NA,2000000,1100000,1400000,2500000,6900000,1010000000,1840000000,8400000,9100000,100000000,0.004565217391304348,0.084,18.4,0.0012987012987012987,0.1111111111111111,NA,8.658008658008658e-4,8.658008658008658e-4,1.2554347826086956,6.896422480838066e-4,0.01268941736474204
2015,LUNMF,2180000000,2010000000,164710000,44900000,107040000,NA,NA,810930000,780140000,319220000,201070000,1320000000,4660000000,9420000000,3520000000,5300000000,5900000000,0.37367303609341823,0.5966101694915255,1.5966101694915253,0.07555504587155963,7.575952914798206,NA,0.3719862385321101,0.3719862385321101,0.23142250530785563,1.6073900765928795,2.566375342627953
2016,LUNMF,1960000000,1790000000,172040000,48110000,105920000,171300000,122360000,689610000,959270000,479390000,218780000,3230000000,4260000000,8240000000,3370000000,4240000000,4860000000,0.40898058252427183,0.6934156378600823,1.6954732510288066,0.08777551020408163,6.5106684290030215,0.06242857142857143,0.3518418367346939,0.3518418367346939,0.23786407766990292,1.4791718034152437,2.507896226366586
2017,LUNMF,2510000000,1740000000,767020000,50410000,118670000,811040000,482110000,1210000000,1960000000,514790000,241010000,2820000000,4250000000,7880000000,2680000000,4600000000,5200000000,0.3401015228426396,0.5153846153846153,1.5153846153846153,0.3055856573705179,10.196342799359568,0.1920756972111554,0.4820717131474104,0.4820717131474104,0.31852791878172587,1.5134362946619897,2.2934380772954768
